======================================
=== SHEET: Efectividad (21 rows x 16 cols) ===
======================================
 | ¿Próxima Acción? | Sí |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Tipo de Compromiso | Esta semana No |  |  |  |  |  |  |  |  |  |  |  |  | 
 | N° de Próximas acciones |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Contexto | Total |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @A la espera | 11 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Casa | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @GoPRO | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Iquique | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Oficina | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Teléfono | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Online | 17 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Offline | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Desarrollo Web | 3 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Búsqueda Internet | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Compras internet | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Email | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Ipad | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Computador | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Mac | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Grand Total | 70 |  |  |  |  |  |  |  |  |  |  |  |  | 
[20 data rows]

======================================
=== SHEET: PROYECTOS (121 rows x 2 cols) ===
======================================
¿Próxima Acción? | Sí
AREA | (Multiple Items)
Proyecto | N° Acciones
Estamos registrados en Sernatur y operando en regla | 1
Las redes sociales de ANE son visualmente atractivas y a la gente le atrae | 1
Los videos ANE están estructurados y ahora es más rápido la edición de video | 1
NO movimientos de ANE declarados | 1
Sergio tiene su VISA en regla | 1
Tenemos poleras nuevas a un buen precio | 2
Tengo un asesor de empresa para todos los temas relacionados con ANE | 1
Seguimos generando videos de experiences | 3
Mi cuenta de Cairo está cerrada | 1
Hago acciones de bajo costo que generan gran impacto en nuestro negocio de ANE | 1
Tenemos todas las facturas relacionadas con ANE en orden | 1
El branding personal de ANE está muy trabajado y su estrategia está completamente definida | 1
Seguimos agregando nuevos facilitadores en la tribu de ANE | 1
Seguimos ampliando la visibiliad de ANE en internet | 2
Tenemos cuenta de paypal de empresa y está integrada en nuestra web | 1
Sergio y yo Nos organizamos muy bien y trabajamos en equipo excepcionalmente | 1
Tengo un contador para ANE en el que confío y es muy bueno haciendo su trabajo | 3
Tenemos un formulario de clientes para nuestras propias actividades | 1
Tenemos un lugar seguro donde guardar nuestra  material de experiencias: Paddles y otros. A poder ser junto a la furgoneta!! | 1
La furgoneta está ploteada con ANE y Red Paddle y se ve bakan | 2
Sergio tiene su contrato de ANE en regla | 1
Sergio tiene su carnet de conducir chileno | 1
Sergio se encuentra en contínuo aprendizaje y cada día lee más porque le encanta aprender | 1
Sergio es PADI open water | 1
ANE tiene una estrategia definida en conjunto con Pisagua Sumergido para meter paddles en Pisagua | 1
ANE tiene Red Paddle en 3 tiendas de Iquique y nos los han comprado | 1
Tenemos 2 banderas de ANE y las hemos hecho en Perú | 1
Tenemos 2 banderas de Red Paddle y las hemos hecho en Perú | 1
Tenemos una polera de surftrips para hombre brutal!!! | 1
Sergio cada vez sabe más sobre la flora y fauna de la región convirtiéndose en un guía increíble | 1
Nuestras actividades ANE están super bien definidas con precios claros, rutas concretas y tiempos medidos; listas para poder enviar a clientes | 1
ANE tiene pequeños souvenirs que la gente puede comprar | 1
Sergio controla sus gastos y tiene visibilidad sobre dónde se va el dinero y se está preparando a conciencia para cuando tenga lucas!! | 1
Sergio ha cancelado su tarjeta de la Kutxa | 1
En el Marley coffe hay videos de ANE dando vueltas todo el día | 1
Sergio tiene su portátil impeke, con todos los archivos donde tienen que estar y todo lo es necesario está archivado o ya se eliminó | 1
Las tomas que grabamos en ANE son más profesionales y bakanes | 1
La furgoneta del Equipo A de ANE está full equipada para experiences | 2
Sergio tiene Fan Page de atleta bodyboarder y está increíble, se ve excelente y tiene muchas visitas. Está ligada a ANE | 1
Sergio está federado y compite en campeonatos de boadyboard internacionales | 3
ANE tiene clientes que pagan buenas lucas por experiencias | 1
Sergio tiene el certificado de primeros auxilios en Chile | 1
ANE tiene una red inmensa de colaboradores que se sienten parte de ANE | 1
Grand Total | 53
[47 data rows]

======================================
=== SHEET: LISTA de Proyectos y Acciones (863 rows x 26 cols) ===
======================================
Contador | AREA | OBJETIVO | Proyecto | Subproyecto | Acción | ¿Próxima Acción? | Contexto | Contacto | Tiempo | Energía | Fecha inicio | Fecha objetivo | ¿Fecha límite? | Tipo de Compromiso | ¿Activa? | Completada | Fecha finalización | Notas |  |  |  |  |  |  | 
91 | ANE |  | Los videos ANE están estructurados y ahora es más rápido la edición de video |  | Crear estructura de video de altiplano | No | @Computador |  | 4. 1h-2h' | Media |  |  | No | Tal vez nunca | =IF(AND(L92="",O92=""),"",IF(AND(O92="Comprometida",(OR(L92<=TODAY(),L92="")),OR(Q92="",Q92="No"),G92="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
92 | ANE |  | Los videos ANE están estructurados y ahora es más rápido la edición de video |  | Crear Planilla Estandar Video Experience 15sec,30sec,1',3',Long | Sí | @Computador |  | 4. 1h-2h' | Media |  |  | No | Tal vez nunca | =IF(AND(L93="",O93=""),"",IF(AND(O93="Comprometida",(OR(L93<=TODAY(),L93="")),OR(Q93="",Q93="No"),G93="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
93 | KAISEN PERSONAL |  |  |  | Realizar mi testamento | Sí | @Zarautz |  | 5. >2h' | Alta |  |  | No | Tal vez nunca | =IF(AND(L94="",O94=""),"",IF(AND(O94="Comprometida",(OR(L94<=TODAY(),L94="")),OR(Q94="",Q94="No"),G94="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
94 | GTD |  | Mi correo electrónico está automatizado y centralizado |  | Organizar filtros en mis mails para centralizar entrada de mi correo personal | No | @Email |  | 5. >2h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L95="",O95=""),"",IF(AND(O95="Comprometida",(OR(L95<=TODAY(),L95="")),OR(Q95="",Q95="No"),G95="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
95 | GUITAR FLOW |  |  |  | Aprender cómo se conecta la guitarra y el micrófono con mi nuevo amplificador | Sí | @Casa |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L96="",O96=""),"",IF(AND(O96="Comprometida",(OR(L96<=TODAY(),L96="")),OR(Q96="",Q96="No"),G96="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
96 | KAISEN PERSONAL |  |  |  | Ordenar fotos en discos duros | Sí | @Casa |  | 5. >2h' | Baja |  |  | No | Tal vez nunca | =IF(AND(L97="",O97=""),"",IF(AND(O97="Comprometida",(OR(L97<=TODAY(),L97="")),OR(Q97="",Q97="No"),G97="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
97 | VENTA ONLINE |  | Preparado mi Estrategia completa de mail marketing | Plan estratégico de venta online completado siguiendo el Mass Control de Frank Kern completado | Completar 1a parte del curso de Mass Control de Frank kern | Sí | @Online |  | 5. >2h' | Alta |  |  | No | Esta semana No | =IF(AND(L98="",O98=""),"",IF(AND(O98="Comprometida",(OR(L98<=TODAY(),L98="")),OR(Q98="",Q98="No"),G98="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
98 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Mi sistema continua mejorando | Definir los colores que quiero utilizar para qué cosas de mi calendario (recordatorios de deathlines, compromisos, | Sí | @Online |  | 1. <15' | Media |  |  |  | Algún día/Tal vez | =IF(AND(L99="",O99=""),"",IF(AND(O99="Comprometida",(OR(L99<=TODAY(),L99="")),OR(Q99="",Q99="No"),G99="Sí"),"Sí","No")) |  |  |  |  |  |  |  |  |  | 
99 | VIVIR CON ABUNDANCIA |  | Vivo en abundancia aplicando cada una de sus leyes |  | Hacer mi lista de declaraciones para leerla cada mañana según me levanto | Sí | @Casa |  | 1. <15' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L100="",O100=""),"",IF(AND(O100="Comprometida",(OR(L100<=TODAY(),L100="")),OR(Q100="",Q100="No"),G100="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
100 | MAGDA | Magda se siente cuidada por mí y le encanta las cosas que le estoy haciendo | Magda recibe una canción grabada en video especialmente dedicada para ella y le encanta. Eso me hace sentir bien |  | Grabar canción de Magda | No | @Casa |  | 5. >2h' | Media | 2016-09-10 00:00:00 | 2016-09-10 00:00:00 | No | Comprometida | =IF(AND(L101="",O101=""),"",IF(AND(O101="Comprometida",(OR(L101<=TODAY(),L101="")),OR(Q101="",Q101="No"),G101="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
101 | MAGDA | Magda se siente cuidada por mí y le encanta las cosas que le estoy haciendo | Magda recibe una canción grabada en video especialmente dedicada para ella y le encanta. Eso me hace sentir bien |  | Quitarle peso al video y subirlo a mi canal de youtube | No | @Casa |  | 2. 15'-30' | Baja |  |  | No | Esta semana No | =IF(AND(L102="",O102=""),"",IF(AND(O102="Comprometida",(OR(L102<=TODAY(),L102="")),OR(Q102="",Q102="No"),G102="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
102 |  |  |  |  | Ir a la piojera con el equipo | Sí | @Calle |  | 5. >2h' | Media | 2016-08-24 00:00:00 |  | Sí | Comprometida | =IF(AND(L103="",O103=""),"",IF(AND(O103="Comprometida",(OR(L103<=TODAY(),L103="")),OR(Q103="",Q103="No"),G103="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
103 |  |  |  |  | Escuchar video de youtube sobre cómo preparar una charla | Sí | @Online |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L104="",O104=""),"",IF(AND(O104="Comprometida",(OR(L104<=TODAY(),L104="")),OR(Q104="",Q104="No"),G104="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
104 | TALLERES PRESENCIALES | Estoy impartiendo talleres salas arrendadas en Santiago y todo es un éxito | Tengo clara la metodología que voy a seguir en mis talleres presenciales |  | Escuchar video de youtube sobre cómo organizar un taller | No | @Online |  | 3. 30'-1h' | Media |  |  | No | Esta semana No | =IF(AND(L105="",O105=""),"",IF(AND(O105="Comprometida",(OR(L105<=TODAY(),L105="")),OR(Q105="",Q105="No"),G105="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
105 | FUENTES INGRESOS |  | Creada Nueva Fuente de ingresos | Ofrezco un infoproducto en una página web | Crear mi video con screenflow sobre uno de mis infoproductos siguiendo tomando como ejemplo el productividadminimalista de David Cantone | No | @Computador |  | 5. >2h' | Alta |  |  | No | Esta semana No | =IF(AND(L106="",O106=""),"",IF(AND(O106="Comprometida",(OR(L106<=TODAY(),L106="")),OR(Q106="",Q106="No"),G106="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
106 | CURSOS |  |  |  | Leer pdf de David Cantone sobre productividadminimalista | No | @Computador |  | 5. >2h' | Media |  |  | No | Esta semana No | =IF(AND(L107="",O107=""),"",IF(AND(O107="Comprometida",(OR(L107<=TODAY(),L107="")),OR(Q107="",Q107="No"),G107="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
107 | DESARROLLO PERSONAL |  |  |  | Ver alguna peli que recomienda Sergio Fernandez | Sí | @Casa |  | 5. >2h' | Baja |  |  | No | Tal vez nunca | =IF(AND(L108="",O108=""),"",IF(AND(O108="Comprometida",(OR(L108<=TODAY(),L108="")),OR(Q108="",Q108="No"),G108="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
108 | DESARROLLO PERSONAL |  |  |  | Investigar sobre el estado de Crisalia | Sí | @Búsqueda Internet |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L109="",O109=""),"",IF(AND(O109="Comprometida",(OR(L109<=TODAY(),L109="")),OR(Q109="",Q109="No"),G109="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
109 | MARCA PERSONAL |  | Mi estrategia de Marca Personal está construida habiendo aplicado el proceso de Personal Branding |  | Contestar 1er set de preguntas del libro Marca Personal | Sí | @Mac |  | 3. 30'-1h' | Alta |  |  | No | Esta semana No | =IF(AND(L110="",O110=""),"",IF(AND(O110="Comprometida",(OR(L110<=TODAY(),L110="")),OR(Q110="",Q110="No"),G110="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
110 | VIDA SALUDABLE |  | Tengo aparato en la boca |  | Pedir cita con Doctora CLC; preguntar a secretaria Verónica si es posible consulta el próximo viernes por Skype | No | @Teléfono |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L111="",O111=""),"",IF(AND(O111="Comprometida",(OR(L111<=TODAY(),L111="")),OR(Q111="",Q111="No"),G111="Sí"),"Sí","No")) | No | 2016-08-29 00:00:00 | Cita para el 9 Sept 10am |  |  |  |  |  |  | 
111 | MARCA PERSONAL |  | Mi estrategia de Marca Personal está construida habiendo aplicado el proceso de Personal Branding |  | Pensar como posicionar mis cursos en la gente que expresamente no los busca pero que les vendría muy bien | No | @Cualquiera |  | 2. 15'-30' | Alta |  |  | No | Tal vez nunca | =IF(AND(L112="",O112=""),"",IF(AND(O112="Comprometida",(OR(L112<=TODAY(),L112="")),OR(Q112="",Q112="No"),G112="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
112 | VIDA SALUDABLE |  | Tengo una ortodoncia en mi boca y saco el máximo rendimiento de mi seguro médico en Ausenco |  | Rellenar papel de Reembolsos gastos dentales con Doctora en consulta médica | No | @Calle |  | 4. 1h-2h' | Baja |  |  | No | Esta semana No | =IF(AND(L113="",O113=""),"",IF(AND(O113="Comprometida",(OR(L113<=TODAY(),L113="")),OR(Q113="",Q113="No"),G113="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
113 | VIDA SALUDABLE |  | Tengo una ortodoncia en mi boca y saco el máximo rendimiento de mi seguro médico en Ausenco |  | Entregar hoja de reemboloso gastos dentales a seguro de Ausenco | No | @Calle |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L114="",O114=""),"",IF(AND(O114="Comprometida",(OR(L114<=TODAY(),L114="")),OR(Q114="",Q114="No"),G114="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
114 | DESARROLLO PERSONAL |  | Soy conocedor de las enseñanzas del budismo, lo cual me da conocimiento que se integra en mi discursos y pensamientos (importante: recomendación de Magda) |  | Comprar un buen libro sobre budismo | No | @Compras internet |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L115="",O115=""),"",IF(AND(O115="Comprometida",(OR(L115<=TODAY(),L115="")),OR(Q115="",Q115="No"),G115="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
115 | DESARROLLO PERSONAL |  | Soy conocedor de las enseñanzas del budismo, lo cual me da conocimiento que se integra en mi discursos y pensamientos (importante: recomendación de Magda) |  | Ver lo que me ha enviado la Magda sobre Budismo (mensaje facebook) | Sí | @Online |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L116="",O116=""),"",IF(AND(O116="Comprometida",(OR(L116<=TODAY(),L116="")),OR(Q116="",Q116="No"),G116="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
116 | ANE |  | Los videos ANE están estructurados y ahora es más rápido la edición de video |  | Crear estructura de video de surftrip | No | @Computador |  | 4. 1h-2h' | Media |  |  | No | Tal vez nunca | =IF(AND(L117="",O117=""),"",IF(AND(O117="Comprometida",(OR(L117<=TODAY(),L117="")),OR(Q117="",Q117="No"),G117="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
117 | ANE |  | Mi cuenta de Cairo está cerrada |  | Encontrar número de cuenta bancaria de Mustafa | Sí | @Computador |  | 1. <15' | Media |  |  | No | Esta semana No | =IF(AND(L118="",O118=""),"",IF(AND(O118="Comprometida",(OR(L118<=TODAY(),L118="")),OR(Q118="",Q118="No"),G118="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
118 | ANE |  | NO movimientos de ANE declarados |  | Preguntar a Tino cómo se hace la declaración de no movimientos | Sí | @Teléfono | Constantino@ | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L119="",O119=""),"",IF(AND(O119="Comprometida",(OR(L119<=TODAY(),L119="")),OR(Q119="",Q119="No"),G119="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
119 | ANE |  | NO movimientos de ANE declarados |  | Declarar no movimientos de ANE | No | @Cualquiera |  | 4. 1h-2h' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L120="",O120=""),"",IF(AND(O120="Comprometida",(OR(L120<=TODAY(),L120="")),OR(Q120="",Q120="No"),G120="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
120 | WEB JOX |  | Mi estrategia de Marca Personal está construida habiendo aplicado el proceso de Personal Branding |  | Escribir los ganchos que la gente al leerlo diga: eso me pasa a mí! Y se interese por mí y lo que tengo que aportarle | No | @Offline |  | 3. 30'-1h' | Alta |  |  | No | Esta semana No | =IF(AND(L121="",O121=""),"",IF(AND(O121="Comprometida",(OR(L121<=TODAY(),L121="")),OR(Q121="",Q121="No"),G121="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
121 |  |  |  |  | Ver conferencia de Yoki Kenji (recomendado por Juan Carlos Duarte | Sí | @Online |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L122="",O122=""),"",IF(AND(O122="Comprometida",(OR(L122<=TODAY(),L122="")),OR(Q122="",Q122="No"),G122="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
122 |  |  |  |  | Leer libro de "Una alternativa liberal para salir de la crisis" de Juan Ramón Rallo para conocer más sobre economía, la crisis en España y alternativas de cómo salir de ella | Sí | @Ipad |  | 3. 30'-1h' | Media |  |  | No | Tal vez nunca | =IF(AND(L123="",O123=""),"",IF(AND(O123="Comprometida",(OR(L123<=TODAY(),L123="")),OR(Q123="",Q123="No"),G123="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
123 |  |  |  |  | Buscar qué hay en internet como para encontrar gente de desarrollo personal para juntarme y compartir ideas | Sí | @Búsqueda Internet |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L124="",O124=""),"",IF(AND(O124="Comprometida",(OR(L124<=TODAY(),L124="")),OR(Q124="",Q124="No"),G124="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
124 | WEB JOX |  | Web finalizada con video de presentación de la web y 1 curso de GTD con video de presentación |  | Revisar cómo tiene organizado el blog chrisguillebeau.com, para aplicarlo en mi web | Sí | @Desarrollo Web |  | 3. 30'-1h' | Media |  |  | No | Esta semana No | =IF(AND(L125="",O125=""),"",IF(AND(O125="Comprometida",(OR(L125<=TODAY(),L125="")),OR(Q125="",Q125="No"),G125="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
125 |  |  |  |  | Investigar sobre monsanto | Sí | @Búsqueda Internet |  | 3. 30'-1h' | Media |  |  | No | Tal vez nunca | =IF(AND(L126="",O126=""),"",IF(AND(O126="Comprometida",(OR(L126<=TODAY(),L126="")),OR(Q126="",Q126="No"),G126="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
126 |  |  |  |  | Investigar sobre el Eneagrama. Yo, según la Alba soy el 7 | Sí | @Búsqueda Internet |  | 3. 30'-1h' | Media |  |  | No | Tal vez nunca | =IF(AND(L127="",O127=""),"",IF(AND(O127="Comprometida",(OR(L127<=TODAY(),L127="")),OR(Q127="",Q127="No"),G127="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
127 | ANE |  | Ramón Navarro tiene una polera de punta de lobos de ANE y nos ha enviado una foto |  | Conseguir el correo electrónico de Ramón Navarro (quizás contactar por fan page de éste) | No | @Online |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L128="",O128=""),"",IF(AND(O128="Comprometida",(OR(L128<=TODAY(),L128="")),OR(Q128="",Q128="No"),G128="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
128 | ANE |  | Ramón Navarro tiene una polera de punta de lobos de ANE y nos ha enviado una foto |  | Enviar polera a Ramón Navarro | No | @Calle |  | 3. 30'-1h' | Baja |  |  | No | Esta semana No | =IF(AND(L129="",O129=""),"",IF(AND(O129="Comprometida",(OR(L129<=TODAY(),L129="")),OR(Q129="",Q129="No"),G129="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
129 | WEB ANE |  | Seguimos agregando actividades y destinos en Tarapacá para nuestra web de ANE |  | Agregar a destinos de ANE, "La waika" en un word de destinos y actividades | No | @Online |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L130="",O130=""),"",IF(AND(O130="Comprometida",(OR(L130<=TODAY(),L130="")),OR(Q130="",Q130="No"),G130="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
130 | WEB ANE |  | Seguimos agregando actividades y destinos en Tarapacá para nuestra web de ANE |  | A la espera de que Sergio me envíe documento con facilitadores del norte | Sí | @A la espera |  |  |  |  |  | No | Esta semana No | =IF(AND(L131="",O131=""),"",IF(AND(O131="Comprometida",(OR(L131<=TODAY(),L131="")),OR(Q131="",Q131="No"),G131="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
131 | TALLERES PRESENCIALES | Estoy impartiendo talleres salas arrendadas en Santiago y todo es un éxito | Tengo clara la metodología que voy a seguir en mis talleres presenciales |  | Leer libro "Seminar Success - Your Complete guide to Planning your seminar" - 80 páginas | No | @Ipad |  | 3. 30'-1h' | Media |  |  | No | Esta semana No | =IF(AND(L132="",O132=""),"",IF(AND(O132="Comprometida",(OR(L132<=TODAY(),L132="")),OR(Q132="",Q132="No"),G132="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
132 | ANE |  | Seguimos generando videos de experiences |  | Hacer video de altiplano Australians | Sí | @Casa |  | 4. 1h-2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L133="",O133=""),"",IF(AND(O133="Comprometida",(OR(L133<=TODAY(),L133="")),OR(Q133="",Q133="No"),G133="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
133 | ANE |  | Seguimos generando videos de experiences |  | Hacer video corto de paddle q tarde 30' en editarlo (cronometrarlo) | No | @Mac |  | 3. 30'-1h' | Media |  |  | No | Esta semana No | =IF(AND(L134="",O134=""),"",IF(AND(O134="Comprometida",(OR(L134<=TODAY(),L134="")),OR(Q134="",Q134="No"),G134="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
134 |  |  | Mi RUT está actualizado en máquina de registro entrada/salida Ausenco |  | Esperar a contestación de correo enviado a Ana Velazquez | Sí | @A la espera |  |  |  |  |  | No | Comprometida | =IF(AND(L135="",O135=""),"",IF(AND(O135="Comprometida",(OR(L135<=TODAY(),L135="")),OR(Q135="",Q135="No"),G135="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
135 | FUENTES INGRESOS |  | Creada Nueva Fuente de ingresos | Nuevo infoproducto - Productividad basada en el Flow - Terminado | Realizar presentación con powerpoint del nuevo infoproducto: Productividad basada en el Flow, tomando como ejemplo el productividadminimalista de David Cantone | No | @Computador |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L136="",O136=""),"",IF(AND(O136="Comprometida",(OR(L136<=TODAY(),L136="")),OR(Q136="",Q136="No"),G136="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
136 | FUENTES INGRESOS |  | Creada Nueva Fuente de ingresos | Nuevo infoproducto - Productividad basada en el Flow - Terminado | Crear herramienta excel del nuevo infoproducto: Productividad basada en el Flow | Sí | @Computador |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L137="",O137=""),"",IF(AND(O137="Comprometida",(OR(L137<=TODAY(),L137="")),OR(Q137="",Q137="No"),G137="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
137 | FUENTES INGRESOS |  | Creada Nueva Fuente de ingresos | Nuevo infoproducto - Productividad basada en el Flow - Terminado | Crear primer video del PROCESO del nuevo infoproducto: Productividad basada en el Flow | No | @Computador |  | 5. >2h' | Media |  |  | No | Esta semana No | =IF(AND(L138="",O138=""),"",IF(AND(O138="Comprometida",(OR(L138<=TODAY(),L138="")),OR(Q138="",Q138="No"),G138="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
138 | SERGIO |  | Sergio tiene su VISA en regla |  | Esperar a que Sergio me envíe la información con lo que necesita de mí para su Visado para Chile | Sí | @A la espera | Sergio@ |  |  |  |  | No | Comprometida | =IF(AND(L139="",O139=""),"",IF(AND(O139="Comprometida",(OR(L139<=TODAY(),L139="")),OR(Q139="",Q139="No"),G139="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
139 | SERGIO |  | Sergio y yo Nos organizamos muy bien y trabajamos en equipo excepcionalmente |  | Esperar a que Sergio me plantee su calendario y cómo se va a organizar | Sí | @A la espera | Sergio@ |  |  |  |  | No | Comprometida | =IF(AND(L140="",O140=""),"",IF(AND(O140="Comprometida",(OR(L140<=TODAY(),L140="")),OR(Q140="",Q140="No"),G140="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
140 | SERGIO |  | Tenemos pafletos de nuestras actividades en Iquique |  | Esperar a que Sergio me diga algo del Panfleto de propaganda de ANE | Sí | @A la espera |  |  |  |  |  | No | Comprometida | =IF(AND(L141="",O141=""),"",IF(AND(O141="Comprometida",(OR(L141<=TODAY(),L141="")),OR(Q141="",Q141="No"),G141="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
141 | KAISEN PERSONAL | Tengo mayor orden en mi vida y vivo sin estrés |  |  | Organizar la información de mis pcs según archivo digital descargado | No | @Computador |  | 5. >2h' | Media |  |  | No | Esta semana No | =IF(AND(L142="",O142=""),"",IF(AND(O142="Comprometida",(OR(L142<=TODAY(),L142="")),OR(Q142="",Q142="No"),G142="Sí"),"Sí","No")) | No | 2016-09-11 00:00:00 | Ha sido duro, pero ya está en orden!! |  |  |  |  |  |  | 
142 | TALLERES PRESENCIALES | Estoy impartiendo talleres salas arrendadas en Santiago y todo es un éxito | Tengo clara la metodología que voy a seguir en mis talleres presenciales |  | Listar las tareas del check list que aparecen en el libro "Seminar Success" dentro de mi herramienta GTD | Sí | @Ipad |  | 2. 15'-30' | Media |  |  | No | Esta semana No | =IF(AND(L143="",O143=""),"",IF(AND(O143="Comprometida",(OR(L143<=TODAY(),L143="")),OR(Q143="",Q143="No"),G143="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
143 |  |  | Tenemos conexiones y alianzas estratégicas más allá de Iquique |  | Esperar respuesta de atacamaconnections | Sí | @A la espera |  |  |  |  |  | No | Comprometida | =IF(AND(L144="",O144=""),"",IF(AND(O144="Comprometida",(OR(L144<=TODAY(),L144="")),OR(Q144="",Q144="No"),G144="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
